rater,pair_id,shown_a,shown_b,pick,winner,ms,study
a6f3c312b5,ads2-redo:orchard:omni-vs-wan3,omni,wan3,b,wan3,25548,6aaf887218ee882342b2fe2d
a6f3c312b5,ads2-redo:quiet:heygen-vs-seedance2,seedance2,heygen,a,seedance2,33015,6aaf887218ee882342b2fe2d
a6f3c312b5,ads2-redo:slowroad:omni-vs-wan3,omni,wan3,a,omni,31548,6aaf887218ee882342b2fe2d
635f4ba462,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,b,seedance2,69701,6aaf887218ee882342b2fe2d
635f4ba462,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,b,wan3,47049,6aaf887218ee882342b2fe2d
635f4ba462,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,a,seedance2,42810,6aaf887218ee882342b2fe2d
635f4ba462,ads2-redo:quiet:heygen-vs-wan3,wan3,heygen,b,heygen,42357,6aaf887218ee882342b2fe2d
635f4ba462,ads2-redo:slowroad:seedance2-vs-wan3,seedance2,wan3,a,seedance2,76409,6aaf887218ee882342b2fe2d
8c632c0d2e,ads2-redo:harbor:seedance2-vs-wan3,wan3,seedance2,a,wan3,49830,6aaf887218ee882342b2fe2d
8c632c0d2e,ads2-redo:lantern:seedance2-vs-wan3,seedance2,wan3,tie,,92823,6aaf887218ee882342b2fe2d
8c632c0d2e,ads2-redo:orchard:seedance2-vs-wan3,seedance2,wan3,a,seedance2,60297,6aaf887218ee882342b2fe2d
8c632c0d2e,ads2-redo:quiet:heygen-vs-wan3,heygen,wan3,b,wan3,40974,6aaf887218ee882342b2fe2d
8c632c0d2e,ads2-redo:slowroad:seedance2-vs-wan3,wan3,seedance2,b,seedance2,69630,6aaf887218ee882342b2fe2d
e95653ac50,ads2-redo:harbor:heygen-vs-wan3,wan3,heygen,b,heygen,54954,6aaf38e61e8bf3afc8f53d0c
e95653ac50,ads2-redo:lantern:heygen-vs-wan3,wan3,heygen,b,heygen,54385,6aaf38e61e8bf3afc8f53d0c
e95653ac50,ads2-redo:orchard:heygen-vs-wan3,heygen,wan3,b,wan3,45137,6aaf38e61e8bf3afc8f53d0c
e95653ac50,ads2-redo:quiet:omni-vs-seedance2,seedance2,omni,a,seedance2,45024,6aaf38e61e8bf3afc8f53d0c
e95653ac50,ads2-redo:slowroad:heygen-vs-wan3,heygen,wan3,b,wan3,46208,6aaf38e61e8bf3afc8f53d0c
